Test #,Test Name,Analyte Name,Analyte #,Reference Range,Units
100875,Request Problem,Request Problem,100875,,
1537,Magnesium,Magnesium,001537,1.7-2.4,mg/dL
322000,Comp. Metabolic Panel (14),Albumin,001081,4.0-5.0,g/dL
2139,CEA,CEA,002169,0.0-4.7,ng/mL
28142,"CBC, Platelet, No Differential",MCHC,015081,31.5-35.7,g/dL
28142,"CBC, Platelet, No Differential",MCH,015073,26.6-33.0,pg
28142,"CBC, Platelet, No Differential",MCV,015065,79-97,fL
28142,"CBC, Platelet, No Differential",Hematocrit,005058,34.0-46.6,%
28142,"CBC, Platelet, No Differential",Hemoglobin,005041,11.1-15.9,g/dL
28142,"CBC, Platelet, No Differential",WBC,005025,3.4-10.8,x10E3/uL
28142,"CBC, Platelet, No Differential",RBC,005033,3.77-5.28,x10E6/uL
28142,"CBC, Platelet, No Differential",Platelets,015172,150-450,x10E3/uL
28142,"CBC, Platelet, No Differential",RDW,105007,11.7-15.4,%
5009,CBC With Differential/Platelet,Lymphs,015123,15.0-48.0,%
5009,CBC With Differential/Platelet,Monocytes,015131,0.0-12.0,%
5009,CBC With Differential/Platelet,Eos,015149,0.0-7.0,%
5009,CBC With Differential/Platelet,Basos,015156,0.0-2.0,%
5009,CBC With Differential/Platelet,Neutrophils (Absolute),015909,1.90-7.40,Thousand/mcL
5009,CBC With Differential/Platelet,Lymphs (Absolute),015917,1.00-3.90,Thousand/mcL
5009,CBC With Differential/Platelet,Monocytes(Absolute),015925,0.00-0.80,Thousand/mcL
5009,CBC With Differential/Platelet,Eos (Absolute),015933,0.00-0.50,Thousand/mcL
5009,CBC With Differential/Platelet,Baso (Absolute),015941,0.00-0.10,Thousand/mcL
5009,CBC With Differential/Platelet,NRBC,015945,0.0-0.9,/100 WBCs
5080,"Path Review, Per Protocol",Pathologist,005081,,
5080,"Path Review, Per Protocol",Comments/Recommendations,005079,,
5009,CBC With Differential/Platelet,WBC,005025,3.8-11.0,Thousand/mcL
5009,CBC With Differential/Platelet,RBC,005033,3.70-5.10,Million/mcL
5009,CBC With Differential/Platelet,Hemoglobin,005041,11.3-15.5,g/dL
5009,CBC With Differential/Platelet,Hematocrit,005058,34.0-46.0,%
5009,CBC With Differential/Platelet,MCV,015065,80.0-100.0,fL
5009,CBC With Differential/Platelet,MCH,015073,27.0-34.0,pg
5009,CBC With Differential/Platelet,MCHC,015081,32.0-37.0,g/dL
5009,CBC With Differential/Platelet,RDW,105007,11.0-15.5,%
5009,CBC With Differential/Platelet,Platelets,015172,150-400,Thousand/mcL
5009,CBC With Differential/Platelet,Neutrophils,015107,40.0-75.0,%
5009,CBC With Differential/Platelet,Immature Granulocytes,015108,0.0-1.0,%
5009,CBC With Differential/Platelet,Immature Grans (Abs),015911,0.00-0.05,Thousand/mcL
510340,CLL FISH Panel,FISH Result,510689,,
510340,CLL FISH Panel,Cells Analyzed,510688,,
510340,CLL FISH Panel,Cells Counted,510687,,
510340,CLL FISH Panel,Specimen Type,510709,,
510340,CLL FISH Panel,Interpretation,510337,,
510340,CLL FISH Panel,Director Review:,510338,,
1057,Uric Acid,Uric Acid,001057,3.8-8.4,mg/dL
5215,Sedimentation Rate-Westergren,Sedimentation Rate-Westergren,005215,0-40,mm/hr
5215,Sedimentation Rate-Westergren,Sedimentation Rate-Westergren,005215,0-15,mm/hr
5215,Sedimentation Rate-Westergren,Sedimentation Rate-Westergren,005215,0-15,
180448,"C difficile, Cytotoxin B","C difficile, Cytotoxin B",180448,,
5215,Sedimentation Rate-Westergren,Sedimentation Rate-Westergren,005215,0-40,
183988,C difficile Toxin Gene NAA,C difficile Toxin Gene NAA,183989,Negative,
377036,"UA/M w/rflx Culture, Routine",Specific Gravity,013060,1.005-1.030,
10322,Prostate-Specific Ag,Prostate Specific Ag,010334,0.0-4.0,ng/mL
480481,"BCR-ABL1, CML/ALL, PCR, Quant",e13a2 (b2a2) transcript,481509,,
480481,"BCR-ABL1, CML/ALL, PCR, Quant",Serial Monitoring,G50002,,
480481,"BCR-ABL1, CML/ALL, PCR, Quant",e1a2 transcript,481516,,
480510,BCR-ABL1 kinase domain,Nucleotide Change:,480512,,
480481,"BCR-ABL1, CML/ALL, PCR, Quant",e14a2 (b3a2) transcript,481510,,
480510,BCR-ABL1 kinase domain,Predicted Amino Acid Change:,480513,,
481516,"BCR-ABL1, CML,",N,4,,
4515,Estradiol,Estradiol,004519,,pg/mL
4051,Cortisol,Cortisol,004055,6.2-19.4,ug/dL
4020,DHEA-Sulfate,DHEA-Sulfate,004699,48.9-344.2,ug/dL
120766,"C-Reactive Protein, Cardiac","C-Reactive Protein, Cardiac",120768,0.00-3.00,mg/L
512275,DPYD Genotyping,DPYD Information,512278,,
512275,DPYD Genotyping,Interpretation,512277,,
512275,DPYD Genotyping,Director Review,512276,,
512275,DPYD Genotyping,DPYD Metabolic Activity,512274,,
512275,DPYD Genotyping,DPYD Genotype,512273,,
182352,Gram Stain w/Sputum Cult Rflx,Epithelial Cells,182357,,
182352,Gram Stain w/Sputum Cult Rflx,White Blood Cells,182356,,
182352,Gram Stain w/Sputum Cult Rflx,Result 1,182358,,
182352,Gram Stain w/Sputum Cult Rflx,Gram Stain Evaluation,182353,,
182352,Gram Stain w/Sputum Cult Rflx,Result 1,080180,,
182352,Gram Stain w/Sputum Cult Rflx,Lower Respiratory Culture,180810,,
2253,"AFP, Serum, Tumor Marker","AFP, Serum, Tumor Marker",002266,0.0-9.2,ng/mL
164855,Antinuclear Ab by Multiplex,ANA Direct,164862,Negative,
7054,"Ammonia, Plasma","Ammonia, Plasma",007054,31-169,
10405,"Myoglobin, Serum","Myoglobin, Serum",010405,25-58,ng/mL
1362,"Creatine Kinase,Total","Creatine Kinase,Total",001362,32-182,U/L
480780,PSA Total+% Free (Serial),% Free PSA,480799,,%
480780,PSA Total+% Free (Serial),"PSA, Free",480782,N/A,ng/mL
480780,PSA Total+% Free (Serial),Prostate Specific Ag,010334,0.0-4.0,ng/mL
480780,PSA Total+% Free (Serial),PDF,511958,,
500600,"1,25-Dihydroxy,Vitamin D by MS","Total 1,25-Dihydroxy,Vitamin D",500601,,
70104,"Reverse T3, Serum","Reverse T3, Serum",070135,,
500600,"1,25-Dihydroxy,Vitamin D by MS","1,25-Dihydroxy, Vitamin D-2",502629,,
500600,"1,25-Dihydroxy,Vitamin D by MS","1,25-Dihydroxy, Vitamin D-3",502630,,
5009,CBC With Differential/Platelet,NRBC,015945,0-0,%
5009,CBC With Differential/Platelet,Immature Grans (Abs),015911,,K/mcL
5009,CBC With Differential/Platelet,Immature Granulocytes,015108,,%
5009,CBC With Differential/Platelet,Baso (Absolute),015941,0.0-0.1,K/mcL
5009,CBC With Differential/Platelet,Eos (Absolute),015933,0.0-0.5,K/mcL
5009,CBC With Differential/Platelet,Monocytes(Absolute),015925,0.0-0.8,K/mcL
5009,CBC With Differential/Platelet,Lymphs (Absolute),015917,1.0-3.9,K/mcL
5009,CBC With Differential/Platelet,Neutrophils (Absolute),015909,1.9-7.4,K/mcL
5009,CBC With Differential/Platelet,WBC,005025,3.8-11.0,K/mcL
5009,CBC With Differential/Platelet,Monocytes,015131,0-12,%
5009,CBC With Differential/Platelet,Lymphs,015123,15-48,%
5009,CBC With Differential/Platelet,Platelets,015172,150-400,K/mcL
5009,CBC With Differential/Platelet,Neutrophils,015107,38-70,%
5009,CBC With Differential/Platelet,Basos,015156,0-2,%
5009,CBC With Differential/Platelet,MCV,015065,80-100,fL
5009,CBC With Differential/Platelet,Hematocrit,005058,34-46,%
5009,CBC With Differential/Platelet,Eos,015149,0-7,%
5009,CBC With Differential/Platelet,RBC,005033,3.70-5.10,M/mcL
5009,CBC With Differential/Platelet,MCHC,015081,32.0-35.5,g/dL
143404,Cancer Antigen (CA) 15-3,Cancer Antigen 15-3,143413,0.0-25.0,U/mL
511154,Factor V Leiden Mutation,Factor V Leiden,511155,,
1917,"G6PD,Qn,Bld and Red Cell Count","G-6-PD, Quant",001927,155-399,U/10E12 RBC
8847,"Urine Culture, Routine","Urine Culture, Routine",008847,,
8847,"Urine Culture, Routine",Result 1,997131,,
322000,Comp. Metabolic Panel (14),BUN/Creatinine Ratio,011577,,
322000,Comp. Metabolic Panel (14),AST (SGOT),001123,,IU/L
322000,Comp. Metabolic Panel (14),Albumin,001081,,g/dL
322000,Comp. Metabolic Panel (14),Potassium,001180,,mmol/L
322000,Comp. Metabolic Panel (14),"Protein, Total",001073,,g/dL
322000,Comp. Metabolic Panel (14),Calcium,001016,,mg/dL
322000,Comp. Metabolic Panel (14),Alkaline Phosphatase,001107,,IU/L
322000,Comp. Metabolic Panel (14),Creatinine,001370,,mg/dL
480061,"CA 125, Serum (Serial)",Cancer Antigen (CA) 125,002321,,U/mL
4259,TSH,TSH,004264,,uIU/mL
322000,Comp. Metabolic Panel (14),"Carbon Dioxide, Total",001578,,mmol/L
322000,Comp. Metabolic Panel (14),BUN,001040,,mg/dL
322000,Comp. Metabolic Panel (14),ALT (SGPT),001545,,IU/L
322000,Comp. Metabolic Panel (14),"Bilirubin, Total",001099,,mg/dL
322000,Comp. Metabolic Panel (14),eGFR,100779,>59,
140293,CA 27.29,CA 27.29,142134,0.0-38.6,U/mL
140659,HCV Antibody,Hep C Virus Ab,140689,Non Reactive,
6510,HBsAg Screen,HBsAg Screen,006510,Negative,
6718,"Hep B Core Ab, Tot","Hep B Core Ab, Tot",006718,Negative,
5009,CBC With Differential/Platelet,MCH,015073,25.7-32.2,pg
5009,CBC With Differential/Platelet,MCV,015065,79.0-92.2,fL
5009,CBC With Differential/Platelet,Hematocrit,005058,39.0-50.0,%
5009,CBC With Differential/Platelet,Hemoglobin,005041,13.7-17.5,g/dL
5009,CBC With Differential/Platelet,RBC,005033,4.63-6.08,M/uL
5009,CBC With Differential/Platelet,WBC,005025,4.2-9.1,K/uL
5009,CBC With Differential/Platelet,NRBC,015945,0,per 100 WBCs
5009,CBC With Differential/Platelet,Immature Grans (Abs),015911,0.00-0.05,K/uL
5009,CBC With Differential/Platelet,Immature Granulocytes,015108,0.0-0.7,%
5009,CBC With Differential/Platelet,Baso (Absolute),015941,0.01-0.08,K/uL
5009,CBC With Differential/Platelet,Eos (Absolute),015933,0.04-0.54,K/uL
5009,CBC With Differential/Platelet,Monocytes(Absolute),015925,0.30-0.82,K/uL
5009,CBC With Differential/Platelet,Lymphs (Absolute),015917,1.32-3.57,K/uL
5009,CBC With Differential/Platelet,Neutrophils (Absolute),015909,1.78-5.38,K/uL
5009,CBC With Differential/Platelet,Basos,015156,0.2-1.2,%
5009,CBC With Differential/Platelet,Eos,015149,0.8-7.0,%
5009,CBC With Differential/Platelet,Monocytes,015131,5.3-12.2,%
5009,CBC With Differential/Platelet,Lymphs,015123,21.8-53.1,%
5009,CBC With Differential/Platelet,Neutrophils,015107,34.0-67.9,%
5009,CBC With Differential/Platelet,Platelets,015172,163-337,K/uL
5009,CBC With Differential/Platelet,RDW,105007,11.6-14.4,%
5009,CBC With Differential/Platelet,MCHC,015081,32.3-36.5,g/dL
5009,CBC With Differential/Platelet,Platelets,015172,150-450,
5215,Sedimentation Rate-Westergren,Sedimentation Rate-Westergren,005215,0-30,mm/hr
1958,GGT,GGT,001958,0-65,IU/L
1404,Lipase,Lipase,001404,13-78,U/L
5215,Sedimentation Rate-Westergren,Sedimentation Rate-Westergren,005215,0-30,
2303,Cancer Antigen (CA) 125,Cancer Antigen (CA) 125,002321,0.0-38.1,U/mL
2014,"Folate (Folic Acid), Serum",Note:,002021,,
2014,"Folate (Folic Acid), Serum","Folate (Folic Acid), Serum",002020,>3.0,ng/mL
5215,Sedimentation Rate-Westergren,Sedimentation Rate-Westergren,005215,0-32,mm/hr
1057,Uric Acid,Uric Acid,001057,2.6-6.2,mg/dL
6502,Rheumatoid Factor (RF),Rheumatoid Factor (RF),006171,<14.0,IU/mL
121210,"PE and FLC, Serum","Free Kappa Lt Chains,S",121138,3.3-19.4,
121210,"PE and FLC, Serum","Free Lambda Lt Chains,S",121139,5.7-26.3,
1222,"Bilirubin, Direct","Bilirubin, Direct",001222,0.00-0.40,mg/dL
1917,"G6PD,Qn,Bld and Red Cell Count","G-6-PD, Quant",001927,127-427,
322000,Comp. Metabolic Panel (14),Alkaline Phosphatase,001107,44-121,
322000,Comp. Metabolic Panel (14),ALT (SGPT),001545,0-32,
140150,Troponin T,Troponin T(Highly Sensitive),140164,0-14,
8847,"Urine Culture, Routine",Antimicrobial Susceptibility,997135,,
4226,Testosterone,Testosterone,004227,13-71,ng/dL
1057,Uric Acid,Uric Acid,001057,3.1-7.9,mg/dL
322000,Comp. Metabolic Panel (14),Potassium,001180,3.5-5.2,mmol/L
322000,Comp. Metabolic Panel (14),Sodium,001198,134-144,mmol/L
322000,Comp. Metabolic Panel (14),eGFR,100779,>59,mL/min/1.73
322000,Comp. Metabolic Panel (14),BUN/Creatinine Ratio,011577,45923,
322000,Comp. Metabolic Panel (14),BUN,001040,45832,mg/dL
322000,Comp. Metabolic Panel (14),"Globulin, Total",012039,1.5-4.5,g/dL
322000,Comp. Metabolic Panel (14),Alkaline Phosphatase,001107,44-121,IU/L
322000,Comp. Metabolic Panel (14),"Carbon Dioxide, Total",001578,20-29,mmol/L
322000,Comp. Metabolic Panel (14),Glucose,001032,70-99,mg/dL
322000,Comp. Metabolic Panel (14),"Protein, Total",001073,6.0-8.5,g/dL
322000,Comp. Metabolic Panel (14),Chloride,001206,96-106,mmol/L
322000,Comp. Metabolic Panel (14),Creatinine,001370,0.57-1.00,mg/dL
322000,Comp. Metabolic Panel (14),Albumin,001081,3.9-4.9,g/dL
322000,Comp. Metabolic Panel (14),ALT (SGPT),001545,0-32,IU/L
322000,Comp. Metabolic Panel (14),Calcium,001016,8.7-10.2,mg/dL
322000,Comp. Metabolic Panel (14),AST (SGOT),001123,0-40,IU/L
322000,Comp. Metabolic Panel (14),"Bilirubin, Total",001099,0.0-1.2,mg/dL
480293,CA 27.29 (Serial Monitor),PDF,511958,,
1537,Magnesium,Magnesium,001537,1.6-2.3,mg/dL
480293,CA 27.29 (Serial Monitor),CA 27.29,142134,0.0-38.6,U/mL
142134,CA 27.29,N,1,,
1321,Iron and TIBC,Iron Saturation,011362,15-55,%
1321,Iron and TIBC,Iron,001339,27-159,ug/dL
1321,Iron and TIBC,UIBC,001348,131-425,ug/dL
1321,Iron and TIBC,Iron Bind.Cap.(TIBC),001347,250-450,ug/dL
322000,Comp. Metabolic Panel (14),Calcium,001016,8.7-10.3,mg/dL
322000,Comp. Metabolic Panel (14),BUN,001040,45896,mg/dL
322000,Comp. Metabolic Panel (14),Albumin,001081,3.8-4.9,g/dL
322000,Comp. Metabolic Panel (14),BUN/Creatinine Ratio,011577,46019,
5215,Sedimentation Rate-Westergren,Sedimentation Rate-Westergren,005215,0-15,mm/hr
480053,CA 19-9 (Serial),PDF,511958,,
480095,CEA (Serial Monitor),CEA,002169,0.0-4.7,ng/mL
480053,CA 19-9 (Serial),CA 19-9,002282,0-35,U/mL
322000,Comp. Metabolic Panel (14),Albumin,001081,4.1-5.1,g/dL
322000,Comp. Metabolic Panel (14),ALT (SGPT),001545,0-44,IU/L
322000,Comp. Metabolic Panel (14),BUN/Creatinine Ratio,011577,45920,
322000,Comp. Metabolic Panel (14),Creatinine,001370,0.76-1.27,mg/dL
5215,Sedimentation Rate-Westergren,Sedimentation Rate-Westergren,005215,0-15,
100552,Request Problem,Request Problem,100552,,
4259,TSH,TSH,004264,0.450-4.500,uIU/mL
115188,D-Dimer,D-Dimer,115206,0.00-0.49,mg/L FEU
998280,No Test Indicated,"Dear Doctor,",998282,,
998280,No Test Indicated,.,998281,,
6627,"C-Reactive Protein, Quant","C-Reactive Protein, Quant",006627,0-10,mg/L
480098,CEA (Roche),N,1,,
322000,Comp. Metabolic Panel (14),Calcium,001016,8.6-10.2,mg/dL
322000,Comp. Metabolic Panel (14),BUN/Creatinine Ratio,011577,45954,
480095,CEA (Serial Monitor),PDF,511958,,
5009,CBC With Differential/Platelet,WBC,005025,3.4-10.8,x10E3/uL
5009,CBC With Differential/Platelet,RBC,005033,3.77-5.28,x10E6/uL
5009,CBC With Differential/Platelet,Hemoglobin,005041,11.1-15.9,g/dL
5009,CBC With Differential/Platelet,Hematocrit,005058,34.0-46.6,%
5009,CBC With Differential/Platelet,MCV,015065,79-97,fL
5009,CBC With Differential/Platelet,MCH,015073,26.6-33.0,pg
5009,CBC With Differential/Platelet,MCHC,015081,31.5-35.7,g/dL
5009,CBC With Differential/Platelet,RDW,105007,11.7-15.4,%
5009,CBC With Differential/Platelet,Platelets,015172,150-450,x10E3/uL
5009,CBC With Differential/Platelet,Neutrophils,015107,Not Estab.,%
5009,CBC With Differential/Platelet,Lymphs,015123,Not Estab.,%
5009,CBC With Differential/Platelet,Monocytes,015131,Not Estab.,%
5009,CBC With Differential/Platelet,Eos,015149,Not Estab.,%
5009,CBC With Differential/Platelet,Basos,015156,Not Estab.,%
5009,CBC With Differential/Platelet,Neutrophils (Absolute),015909,1.4-7.0,x10E3/uL
5009,CBC With Differential/Platelet,Lymphs (Absolute),015917,0.7-3.1,x10E3/uL
5009,CBC With Differential/Platelet,Monocytes(Absolute),015925,0.1-0.9,x10E3/uL
5009,CBC With Differential/Platelet,Eos (Absolute),015933,0.0-0.4,x10E3/uL
5009,CBC With Differential/Platelet,Baso (Absolute),015941,0.0-0.2,x10E3/uL
5009,CBC With Differential/Platelet,Immature Granulocytes,015108,Not Estab.,%
5009,CBC With Differential/Platelet,Immature Grans (Abs),015911,0.0-0.1,x10E3/uL
81950,"Vitamin D, 25-Hydroxy","Vitamin D, 25-Hydroxy",081953,30.0-100.0,ng/mL
322000,Comp. Metabolic Panel (14),Albumin,001081,3.8-4.8,g/dL
480145,PSA (Serial Monitor),Prostate Specific Ag,010334,0.0-4.0,ng/mL
1024,Phosphorus,Phosphorus,001024,2.8-4.1,mg/dL
5009,CBC With Differential/Platelet,Hematology Comments:,015180,,
5009,CBC With Differential/Platelet,Hematocrit,005058,37.5-51.0,%
5009,CBC With Differential/Platelet,Hemoglobin,005041,13.0-17.7,g/dL
5009,CBC With Differential/Platelet,RDW,105007,11.6-15.4,%
5009,CBC With Differential/Platelet,RBC,005033,4.14-5.80,x10E6/uL
1321,Iron and TIBC,UIBC,001348,111-343,ug/dL
1321,Iron and TIBC,Iron,001339,38-169,ug/dL
1321,Iron and TIBC,UIBC,001348,118-369,ug/dL
1321,Iron and TIBC,Iron,001339,27-139,ug/dL
480060,Cancer Antigen,N,1,,
1974,"Thyroxine (T4) Free, Direct","T4,Free(Direct)",019745,0.82-1.77,ng/dL
10389,"Triiodothyronine (T3), Free","Triiodothyronine (T3), Free",010389,2.0-4.4,pg/mL
1156,T3 Uptake,T3 Uptake,001156,24-39,%
480061,"CA 125, Serum (Serial)",PDF,511958,,
480061,"CA 125, Serum (Serial)",Cancer Antigen (CA) 125,002321,0.0-38.1,U/mL
143413,CA 15-3,N,1,,
483404,CA 15-3 (Serial Monitor),Cancer Antigen 15-3,143413,0.0-25.0,U/mL
322000,Comp. Metabolic Panel (14),Potassium,001180,3.5-5.2,
8300,"Blood Culture, Routine","Blood Culture, Routine",008300,,
8300,"Blood Culture, Routine",Result 1,997181,,
4598,Ferritin,Ferritin,004598,15-150,ng/mL
1453,Hemoglobin A1c,Please Note:,001482,,
1453,Hemoglobin A1c,Hemoglobin A1c,001481,4.8-5.6,%
1776,"Immunoglobulin G, Qn, Serum","Immunoglobulin G, Qn, Serum",001776,586-1602,mg/dL
1115,LDH,LDH,001115,119-226,IU/L
5215,Sedimentation Rate-Westergren,Sedimentation Rate-Westergren,005215,0-40,mm/hr
1768,"Immunoglobulins A/G/M, Qn, Ser","Immunoglobulin G, Qn, Serum",001776,586-1602,mg/dL
180448,"C difficile, Cytotoxin B","C difficile, Cytotoxin B",180448,,
5215,Sedimentation Rate-Westergren,Sedimentation Rate-Westergren,005215,0-40,
998270,Verbal Order,See below:,978113,,
998270,Verbal Order,Additional Test(s) Requested,001315,,
998270,Verbal Order,Verbal Order,977164,,
977740,One Specimen Identifier,One Specimen Identifier,977740,,
1768,"Immunoglobulins A/G/M, Qn, Ser","Immunoglobulin A, Qn, Serum",001784,87-352,mg/dL
1768,"Immunoglobulins A/G/M, Qn, Ser","Immunoglobulin M, Qn, Serum",001792,26-217,mg/dL
706994,Homocyst(e)ine,Homocyst(e)ine,707009,0.0-14.5,umol/L
183988,C difficile Toxin Gene NAA,C difficile Toxin Gene NAA,183989,Negative,
977900,Written Authorization,Written Authorization,977900,,
810,Vitamin B12 and Folate,Note:,002021,,
810,Vitamin B12 and Folate,Vitamin B12,001503,232-1245,pg/mL
810,Vitamin B12 and Folate,"Folate (Folic Acid), Serum",002020,>3.0,ng/mL
3772,"Urinalysis, Complete",Occult Blood,013102,Negative,
3772,"Urinalysis, Complete","Urobilinogen,Semi-Qn",013105,0.2-1.0,mg/dL
3772,"Urinalysis, Complete",Specific Gravity,013060,1.005-1.030,
3772,"Urinalysis, Complete",Microscopic Examination,012237,,
3772,"Urinalysis, Complete",Ketones,013110,Negative,
3772,"Urinalysis, Complete",Glucose,013086,Negative,
3772,"Urinalysis, Complete",Protein,013094,Negative/Trace,
3772,"Urinalysis, Complete",WBC Esterase,013185,Negative,
3772,"Urinalysis, Complete",Appearance,013052,Clear,
322000,Comp. Metabolic Panel (14),BUN,001040,45894,mg/dL
322000,Comp. Metabolic Panel (14),Creatinine,001370,0.70-1.30,mg/dL
