Test #,Test Name,Analyte Name,Analyte #,Reference Range,Units
322000,Comp. Metabolic Panel (14),eGFR,100779,>60,
322000,Comp. Metabolic Panel (14),BUN/Creatinine Ratio,011577,10.0-24.0,ratio
322000,Comp. Metabolic Panel (14),Sodium,001198,135-145,mmol/L
322000,Comp. Metabolic Panel (14),Potassium,001180,3.5-5.0,mmol/L
322000,Comp. Metabolic Panel (14),Chloride,001206,99-109,mmol/L
322000,Comp. Metabolic Panel (14),"Carbon Dioxide, Total",001578,23-33,mmol/L
322000,Comp. Metabolic Panel (14),Calcium,001016,8.7-10.4,mg/dL
322000,Comp. Metabolic Panel (14),"Protein, Total",001073,6.2-8.2,g/dL
322000,Comp. Metabolic Panel (14),Albumin,001081,3.3-4.8,g/dL
322000,Comp. Metabolic Panel (14),"Globulin, Total",012039,2.2-4.2,g/dL
322000,Comp. Metabolic Panel (14),A/G Ratio,012047,1.0-1.9,ratio
322000,Comp. Metabolic Panel (14),"Bilirubin, Total",001099,0.20-1.10,mg/dL
322000,Comp. Metabolic Panel (14),Alkaline Phosphatase,001107,46-116,U/L
322000,Comp. Metabolic Panel (14),ALT (SGPT),001545,24016,U/L
322000,Comp. Metabolic Panel (14),AST (SGOT),001123,16711,U/L
3772,"Urinalysis, Complete",pH,013078,5.0-7.5,
3772,"Urinalysis, Complete","Nitrite, Urine",013106,Negative,
3772,"Urinalysis, Complete",Bilirubin,013104,Negative,
3772,"Urinalysis, Complete",Urinalysis Gross Exam,133330,,
3772,"Urinalysis, Complete",Urine-Color,013045,Yellow,
3772,"Urinalysis, Complete",Bacteria,333344,None seen/Few,
3772,"Urinalysis, Complete",Casts,013145,None seen,/lpf
3772,"Urinalysis, Complete",Epithelial Cells (non renal),013148,0 - 10,/hpf
3772,"Urinalysis, Complete",RBC,013136,0 -  2,/hpf
3772,"Urinalysis, Complete",WBC,013128,0 -  5,/hpf
1917,"G6PD,Qn,Bld and Red Cell Count","G-6-PD, Quant",001927,127-427,U/10E12 RBC
1917,"G6PD,Qn,Bld and Red Cell Count",Comment:,001929,,
10334,Prostate-speci,N,1,,
480145,PSA (Serial Monitor),PDF,511958,,
4226,Testosterone,Testosterone,004227,264-916,ng/dL
322000,Comp. Metabolic Panel (14),Glucose,001032,70-99,
322000,Comp. Metabolic Panel (14),Albumin,001081,3.7-4.7,g/dL
322000,Comp. Metabolic Panel (14),BUN,001040,45828,mg/dL
1776,"Immunoglobulin G, Qn, Serum","Immunoglobulin G, Qn, Serum",001776,603-1613,mg/dL
1057,Uric Acid,Uric Acid,001057,3.8-8.4,mg/dL
104018,Cortisol - AM,Cortisol - AM,104018,6.2-19.4,ug/dL
977206,Ambig Abbrev CMP14 Default,Ambig Abbrev CMP14 Default,977206,,
199999,Please note,Please note,199999,,
377036,"UA/M w/rflx Culture, Routine",Specific Gravity,013060,1.005-1.030,
3772,"Urinalysis, Complete",Microscopic Examination,333336,,
4309,FSH,FSH,004316,,mIU/mL
480260,Flow panel: Leukemia/Lymphoma,Specimen Type,490027,,
480260,Flow panel: Leukemia/Lymphoma,Comment:,490046,,
480260,Flow panel: Leukemia/Lymphoma,Flow Interpretation,490024,,
480260,Flow panel: Leukemia/Lymphoma,Flow Comment,490025,,
480260,Flow panel: Leukemia/Lymphoma,Resulting Path Name,490039,,
480260,Flow panel: Leukemia/Lymphoma,Indications for Study,490042,,
483404,CA 15-3 (Serial Monitor),PDF,511958,,
1917,"G6PD,Qn,Bld and Red Cell Count",RBC,005033,3.77-5.28,x10E6/uL
4598,Ferritin,Ferritin,004598,30-400,ng/mL
303756,Lipid Panel,"Cholesterol, Total",001065,100-199,mg/dL
303756,Lipid Panel,Triglycerides,001172,0-149,mg/dL
303756,Lipid Panel,HDL Cholesterol,011817,>39,mg/dL
303756,Lipid Panel,VLDL Cholesterol Cal,011919,14732,mg/dL
303756,Lipid Panel,LDL Chol Calc (NIH),012059,0-99,mg/dL
5199,Prothrombin Time (PT),Prothrombin Time,015289,9.1-12.0,sec
5207,"PTT, Activated",aPTT,015116,24-33,sec
5199,Prothrombin Time (PT),INR,115107,0.9-1.2,
10322,Prostate-Specific Ag,Prostate Specific Ag,010334,0.0-4.0,ng/mL
140311,CA 19-9,N,0,,
480481,"BCR-ABL1, CML/ALL, PCR, Quant",e14a2 (b3a2) transcript,481510,,%
480510,BCR-ABL1 kinase domain,Interpretation:,480843,,
480510,BCR-ABL1 kinase domain,Result:,480511,,
480510,BCR-ABL1 kinase domain,Director Review:,480515,,
480481,"BCR-ABL1, CML/ALL, PCR, Quant",e13a2 (b2a2) transcript,481509,,%
480481,"BCR-ABL1, CML/ALL, PCR, Quant",e1a2 transcript,481516,,%
81950,"Vitamin D, 25-Hydroxy","Vitamin D, 25-Hydroxy",081953,30.0-100.0,
480145,PSA (Serial Monitor),Prostate Specific Ag,010334,0.0-4.0,
480481,"BCR-ABL1, CML/ALL, PCR, Quant",References,484516,,
480481,"BCR-ABL1, CML/ALL, PCR, Quant",Methodology,481508,,
480481,"BCR-ABL1, CML/ALL, PCR, Quant",Background,481507,,
480481,"BCR-ABL1, CML/ALL, PCR, Quant",Director Review,489031,,
480481,"BCR-ABL1, CML/ALL, PCR, Quant",Interpretation:,480488,,
480481,"BCR-ABL1, CML/ALL, PCR, Quant",PDF,511958,,
480510,BCR-ABL1 kinase domain,Disclaimer:,481526,,
480510,BCR-ABL1 kinase domain,Methodology:,480844,,
481516,"BCR-ABL1, CML,",N,L,,
480481,"BCR-ABL1, CML/ALL, PCR, Quant",e13a2 (b2a2) transcript,481509,,
480481,"BCR-ABL1, CML/ALL, PCR, Quant",Serial Monitoring,G50002,,
480481,"BCR-ABL1, CML/ALL, PCR, Quant",e1a2 transcript,481516,,
480510,BCR-ABL1 kinase domain,Nucleotide Change:,480512,,
480481,"BCR-ABL1, CML/ALL, PCR, Quant",e14a2 (b3a2) transcript,481510,,
480510,BCR-ABL1 kinase domain,Predicted Amino Acid Change:,480513,,
481516,"BCR-ABL1, CML,",N,4,,
5009,CBC With Differential/Platelet,Please note:,015111,,
4259,TSH,TSH,004264,0.450-4.500,
117006,"VEGF, Plasma","VEGF, Plasma",117057,0-115,
322000,Comp. Metabolic Panel (14),ALT (SGPT),001545,0-35,IU/L
322000,Comp. Metabolic Panel (14),AST (SGOT),001123,15-59,IU/L
4515,Estradiol,Estradiol,004519,,pg/mL
1024,Phosphorus,Phosphorus,001024,3.0-4.3,mg/dL
1057,Uric Acid,Uric Acid,001057,3.0-7.2,mg/dL
5009,CBC With Differential/Platelet,NRBC,015945,0 - 0,%
5009,CBC With Differential/Platelet,NRBC,015945,0.0-0.9,/100 WBCs
5009,CBC With Differential/Platelet,Immature Grans (Abs),015911,0.00-0.05,Thousand/mcL
5009,CBC With Differential/Platelet,Immature Granulocytes,015108,0.0-1.0,%
5009,CBC With Differential/Platelet,Baso (Absolute),015941,0.00-0.10,Thousand/mcL
5009,CBC With Differential/Platelet,Eos (Absolute),015933,0.00-0.50,Thousand/mcL
5009,CBC With Differential/Platelet,Monocytes(Absolute),015925,0.00-0.80,Thousand/mcL
5009,CBC With Differential/Platelet,Lymphs (Absolute),015917,1.00-3.90,Thousand/mcL
5009,CBC With Differential/Platelet,Eos,015149,0.0-7.0,%
5009,CBC With Differential/Platelet,Neutrophils (Absolute),015909,1.90-7.40,Thousand/mcL
5009,CBC With Differential/Platelet,Basos,015156,0.0-2.0,%
5009,CBC With Differential/Platelet,MCHC,015081,32.0-37.0,g/dL
5009,CBC With Differential/Platelet,MCH,015073,27.0-34.0,pg
5009,CBC With Differential/Platelet,MCV,015065,80.0-100.0,fL
5009,CBC With Differential/Platelet,Hematocrit,005058,34.0-46.0,%
5009,CBC With Differential/Platelet,Hemoglobin,005041,11.3-15.5,g/dL
5009,CBC With Differential/Platelet,RBC,005033,3.70-5.10,Million/mcL
5009,CBC With Differential/Platelet,WBC,005025,3.8-11.0,Thousand/mcL
5009,CBC With Differential/Platelet,RDW,105007,11.0-15.5,%
5009,CBC With Differential/Platelet,Platelets,015172,150-400,Thousand/mcL
5009,CBC With Differential/Platelet,Neutrophils,015107,40.0-75.0,%
5009,CBC With Differential/Platelet,Lymphs,015123,15.0-48.0,%
5009,CBC With Differential/Platelet,Monocytes,015131,0.0-12.0,%
121210,"PE and FLC, Serum","Free Kappa Lt Chains,S",121138,3.3-19.4,mg/L
121210,"PE and FLC, Serum","Free Lambda Lt Chains,S",121139,5.7-26.3,mg/L
121210,"PE and FLC, Serum","Kappa/Lambda Ratio,S",121141,0.26-1.65,
121210,"PE and FLC, Serum",Albumin,001488,2.9-4.4,g/dL
121210,"PE and FLC, Serum",Alpha-1-Globulin,001489,0.0-0.4,g/dL
121210,"PE and FLC, Serum",A/G Ratio,011149,0.7-1.7,
121210,"PE and FLC, Serum","Globulin, Total",011052,2.2-3.9,g/dL
121210,"PE and FLC, Serum",Gamma Globulin,001492,0.4-1.8,g/dL
121210,"PE and FLC, Serum",Beta Globulin,001491,0.7-1.3,g/dL
121210,"PE and FLC, Serum",Alpha-2-Globulin,001490,0.4-1.0,g/dL
121210,"PE and FLC, Serum",                             .,321488,,
121210,"PE and FLC, Serum","Protein Electrophoresis,S",321489,,
121210,"PE and FLC, Serum",Please note:,011150,,
121210,"PE and FLC, Serum",PDF,001498,,
121210,"PE and FLC, Serum",M-Spike,001493,Not Observed,g/dL
121210,"PE and FLC, Serum","Protein, Total",001073,6.0-8.5,g/dL
4051,Cortisol,Cortisol,004055,6.2-19.4,ug/dL
4020,DHEA-Sulfate,DHEA-Sulfate,004699,48.9-344.2,ug/dL
120766,"C-Reactive Protein, Cardiac","C-Reactive Protein, Cardiac",120768,0.00-3.00,mg/L
512275,DPYD Genotyping,DPYD Information,512278,,
512275,DPYD Genotyping,Interpretation,512277,,
512275,DPYD Genotyping,Director Review,512276,,
512275,DPYD Genotyping,DPYD Metabolic Activity,512274,,
512275,DPYD Genotyping,DPYD Genotype,512273,,
182352,Gram Stain w/Sputum Cult Rflx,Epithelial Cells,182357,,
182352,Gram Stain w/Sputum Cult Rflx,White Blood Cells,182356,,
182352,Gram Stain w/Sputum Cult Rflx,Result 1,182358,,
182352,Gram Stain w/Sputum Cult Rflx,Gram Stain Evaluation,182353,,
182352,Gram Stain w/Sputum Cult Rflx,Result 1,080180,,
182352,Gram Stain w/Sputum Cult Rflx,Lower Respiratory Culture,180810,,
511200,UGT1A1 Irinotecan Toxicity,Disclaimer,512030,,
511200,UGT1A1 Irinotecan Toxicity,Additional Information:,511224,,
511200,UGT1A1 Irinotecan Toxicity,Director Review:,511208,,
511200,UGT1A1 Irinotecan Toxicity,Result:,511202,,
86207,"C difficile Toxins A+B, EIA","C difficile Toxins A+B, EIA",182238,Negative,
2253,"AFP, Serum, Tumor Marker","AFP, Serum, Tumor Marker",002266,0.0-9.2,ng/mL
164855,Antinuclear Ab by Multiplex,ANA Direct,164862,Negative,
7054,"Ammonia, Plasma","Ammonia, Plasma",007054,31-169,
10405,"Myoglobin, Serum","Myoglobin, Serum",010405,25-58,ng/mL
1362,"Creatine Kinase,Total","Creatine Kinase,Total",001362,32-182,U/L
480780,PSA Total+% Free (Serial),% Free PSA,480799,,%
480780,PSA Total+% Free (Serial),"PSA, Free",480782,N/A,ng/mL
480780,PSA Total+% Free (Serial),Prostate Specific Ag,010334,0.0-4.0,ng/mL
480780,PSA Total+% Free (Serial),PDF,511958,,
121137,"Free K+L Lt Chains,Qn,S","Kappa/Lambda Ratio,S",121141,0.26-1.65,
121137,"Free K+L Lt Chains,Qn,S","Free Lambda Lt Chains,S",121139,5.7-26.3,mg/L
121137,"Free K+L Lt Chains,Qn,S","Free Kappa Lt Chains,S",121138,3.3-19.4,mg/L
1784,"Immunoglobulin A, Qn, Serum","Immunoglobulin A, Qn, Serum",001784,61-437,mg/dL
1768,"Immunoglobulins A/G/M, Qn, Ser","Immunoglobulin A, Qn, Serum",001784,64-422,mg/dL
500600,"1,25-Dihydroxy,Vitamin D by MS","Total 1,25-Dihydroxy,Vitamin D",500601,,
70104,"Reverse T3, Serum","Reverse T3, Serum",070135,,
500600,"1,25-Dihydroxy,Vitamin D by MS","1,25-Dihydroxy, Vitamin D-2",502629,,
500600,"1,25-Dihydroxy,Vitamin D by MS","1,25-Dihydroxy, Vitamin D-3",502630,,
140853,Chromog.  A,N,1,,
480847,"Chromogranin A, Serial Monitor",PDF,511958,,
480847,"Chromogranin A, Serial Monitor",Chromogranin A,140853,0.0-101.8,ng/mL
5009,CBC With Differential/Platelet,NRBC,015945,0-0,%
5009,CBC With Differential/Platelet,Immature Grans (Abs),015911,,K/mcL
5009,CBC With Differential/Platelet,Immature Granulocytes,015108,,%
5009,CBC With Differential/Platelet,Baso (Absolute),015941,0.0-0.1,K/mcL
5009,CBC With Differential/Platelet,Eos (Absolute),015933,0.0-0.5,K/mcL
5009,CBC With Differential/Platelet,Monocytes(Absolute),015925,0.0-0.8,K/mcL
5009,CBC With Differential/Platelet,Lymphs (Absolute),015917,1.0-3.9,K/mcL
5009,CBC With Differential/Platelet,Neutrophils (Absolute),015909,1.9-7.4,K/mcL
5009,CBC With Differential/Platelet,WBC,005025,3.8-11.0,K/mcL
5009,CBC With Differential/Platelet,Monocytes,015131,0-12,%
5009,CBC With Differential/Platelet,Lymphs,015123,15-48,%
5009,CBC With Differential/Platelet,Platelets,015172,150-400,K/mcL
5009,CBC With Differential/Platelet,Neutrophils,015107,38-70,%
5009,CBC With Differential/Platelet,Basos,015156,0-2,%
5009,CBC With Differential/Platelet,MCV,015065,80-100,fL
5009,CBC With Differential/Platelet,Hematocrit,005058,34-46,%
5009,CBC With Differential/Platelet,Eos,015149,0-7,%
5009,CBC With Differential/Platelet,RBC,005033,3.70-5.10,M/mcL
5009,CBC With Differential/Platelet,MCHC,015081,32.0-35.5,g/dL
303756,Lipid Panel,LDL Calc Comment:,011923,,
143404,Cancer Antigen (CA) 15-3,Cancer Antigen 15-3,143413,0.0-25.0,U/mL
511154,Factor V Leiden Mutation,Factor V Leiden,511155,,
3772,"Urinalysis, Complete",Crystal Type,013152,N/A,
3772,"Urinalysis, Complete",Crystals,013146,N/A,
10334,Prostate-speci,N,L,,
1917,"G6PD,Qn,Bld and Red Cell Count","G-6-PD, Quant",001927,155-399,U/10E12 RBC
2253,"AFP, Serum, Tumor Marker","AFP, Serum, Tumor Marker",002266,0.0-8.4,ng/mL
620,Thyroid Panel With TSH,Thyroxine (T4),001149,4.5-12.0,ug/dL
620,Thyroid Panel With TSH,TSH,004264,0.450-4.500,uIU/mL
620,Thyroid Panel With TSH,Free Thyroxine Index,001164,1.2-4.9,
620,Thyroid Panel With TSH,T3 Uptake,001156,24-39,%
1917,"G6PD,Qn,Bld and Red Cell Count",RBC,005033,4.14-5.80,x10E6/uL
8847,"Urine Culture, Routine","Urine Culture, Routine",008847,,
8847,"Urine Culture, Routine",Result 1,997131,,
322000,Comp. Metabolic Panel (14),BUN/Creatinine Ratio,011577,,
322000,Comp. Metabolic Panel (14),AST (SGOT),001123,,IU/L
322000,Comp. Metabolic Panel (14),Albumin,001081,,g/dL
322000,Comp. Metabolic Panel (14),Potassium,001180,,mmol/L
322000,Comp. Metabolic Panel (14),"Protein, Total",001073,,g/dL
322000,Comp. Metabolic Panel (14),Calcium,001016,,mg/dL
322000,Comp. Metabolic Panel (14),Alkaline Phosphatase,001107,,IU/L
322000,Comp. Metabolic Panel (14),Creatinine,001370,,mg/dL
480061,"CA 125, Serum (Serial)",Cancer Antigen (CA) 125,002321,,U/mL
4259,TSH,TSH,004264,,uIU/mL
322000,Comp. Metabolic Panel (14),"Carbon Dioxide, Total",001578,,mmol/L
322000,Comp. Metabolic Panel (14),BUN,001040,,mg/dL
322000,Comp. Metabolic Panel (14),ALT (SGPT),001545,,IU/L
322000,Comp. Metabolic Panel (14),"Bilirubin, Total",001099,,mg/dL
322000,Comp. Metabolic Panel (14),eGFR,100779,>59,
140293,CA 27.29,CA 27.29,142134,0.0-38.6,U/mL
1792,"Immunoglobulin M, Qn, Serum","Immunoglobulin M, Qn, Serum",001792,20-172,mg/dL
4861,"Viscosity, Serum","Viscosity, Serum",004863,1.4-2.1,rel.saline
100875,Request Problem,Request Problem,100875,,
322000,Comp. Metabolic Panel (14),AST (SGOT),001123,0-40,
140659,HCV Antibody,Hep C Virus Ab,140689,Non Reactive,
6510,HBsAg Screen,HBsAg Screen,006510,Negative,
6718,"Hep B Core Ab, Tot","Hep B Core Ab, Tot",006718,Negative,
5009,CBC With Differential/Platelet,WBC,005025,3.4-10.8,
5009,CBC With Differential/Platelet,MCH,015073,25.7-32.2,pg
5009,CBC With Differential/Platelet,MCV,015065,79.0-92.2,fL
5009,CBC With Differential/Platelet,Hematocrit,005058,39.0-50.0,%
5009,CBC With Differential/Platelet,Hemoglobin,005041,13.7-17.5,g/dL
5009,CBC With Differential/Platelet,RBC,005033,4.63-6.08,M/uL
5009,CBC With Differential/Platelet,WBC,005025,4.2-9.1,K/uL
5009,CBC With Differential/Platelet,NRBC,015945,0,per 100 WBCs
5009,CBC With Differential/Platelet,Immature Grans (Abs),015911,0.00-0.05,K/uL
5009,CBC With Differential/Platelet,Immature Granulocytes,015108,0.0-0.7,%
5009,CBC With Differential/Platelet,Baso (Absolute),015941,0.01-0.08,K/uL
5009,CBC With Differential/Platelet,Eos (Absolute),015933,0.04-0.54,K/uL
5009,CBC With Differential/Platelet,Monocytes(Absolute),015925,0.30-0.82,K/uL
5009,CBC With Differential/Platelet,Lymphs (Absolute),015917,1.32-3.57,K/uL
5009,CBC With Differential/Platelet,Neutrophils (Absolute),015909,1.78-5.38,K/uL
5009,CBC With Differential/Platelet,Basos,015156,0.2-1.2,%
5009,CBC With Differential/Platelet,Eos,015149,0.8-7.0,%
5009,CBC With Differential/Platelet,Monocytes,015131,5.3-12.2,%
5009,CBC With Differential/Platelet,Lymphs,015123,21.8-53.1,%
5009,CBC With Differential/Platelet,Neutrophils,015107,34.0-67.9,%
5009,CBC With Differential/Platelet,Platelets,015172,163-337,K/uL
5009,CBC With Differential/Platelet,RDW,105007,11.6-14.4,%
5009,CBC With Differential/Platelet,MCHC,015081,32.3-36.5,g/dL
5009,CBC With Differential/Platelet,Platelets,015172,150-450,
5215,Sedimentation Rate-Westergren,Sedimentation Rate-Westergren,005215,0-30,mm/hr
1115,LDH,LDH,001115,121-224,IU/L
1958,GGT,GGT,001958,0-65,IU/L
1396,Amylase,Amylase,001396,31-110,U/L
1404,Lipase,Lipase,001404,13-78,U/L
5215,Sedimentation Rate-Westergren,Sedimentation Rate-Westergren,005215,0-30,
2303,Cancer Antigen (CA) 125,Cancer Antigen (CA) 125,002321,0.0-38.1,U/mL
2014,"Folate (Folic Acid), Serum",Note:,002021,,
2014,"Folate (Folic Acid), Serum","Folate (Folic Acid), Serum",002020,>3.0,ng/mL
5215,Sedimentation Rate-Westergren,Sedimentation Rate-Westergren,005215,0-32,mm/hr
1057,Uric Acid,Uric Acid,001057,2.6-6.2,mg/dL
6502,Rheumatoid Factor (RF),Rheumatoid Factor (RF),006171,<14.0,IU/mL
121210,"PE and FLC, Serum","Free Kappa Lt Chains,S",121138,3.3-19.4,
121210,"PE and FLC, Serum","Free Lambda Lt Chains,S",121139,5.7-26.3,
1222,"Bilirubin, Direct","Bilirubin, Direct",001222,0.00-0.40,mg/dL
1917,"G6PD,Qn,Bld and Red Cell Count","G-6-PD, Quant",001927,127-427,
322000,Comp. Metabolic Panel (14),Alkaline Phosphatase,001107,44-121,
322000,Comp. Metabolic Panel (14),ALT (SGPT),001545,0-32,
322000,Comp. Metabolic Panel (14),Creatinine,001370,0.50-1.00,mg/dL
480061,"CA 125, Serum (Serial)",Cancer Antigen (CA) 125,002321,Not Estab.,U/mL
5080,"Path Review, Per Protocol",Pathologist,005081,,
5009,CBC With Differential/Platelet, Myelocytes,115403,0 - 0,%
5009,CBC With Differential/Platelet, Metamyelocytes,115401,0 - 0,%
5080,"Path Review, Per Protocol",Comments/Recommendations,005079,,
5009,CBC With Differential/Platelet,Immature Cells,115398,,
322000,Comp. Metabolic Panel (14),BUN,001040,13424,mg/dL
322000,Comp. Metabolic Panel (14),Albumin,001081,3.6-4.6,g/dL
140150,Troponin T,Troponin T(Highly Sensitive),140164,0-14,
164525,Protein S-Functional,Protein S-Functional,164526,63-140,
15040,Antithrombin Activity,Antithrombin Activity,015040,75-135,
117705,Protein C-Functional,Protein C-Functional,117705,73-180,
54601,Ca+PTH Intact,Intact PTH,004000,,
54601,Ca+PTH Intact,"PTH, Intact",015610,15-65,
8847,"Urine Culture, Routine",Antimicrobial Susceptibility,997135,,
322000,Comp. Metabolic Panel (14),Albumin,001081,3.5-5.0,g/dL
1537,Magnesium,Magnesium,001537,1.7-2.4,mg/dL
322000,Comp. Metabolic Panel (14),"Bilirubin, Total",001099,0.10-1.50,mg/dL
322000,Comp. Metabolic Panel (14),Albumin,001081,4.0-5.0,g/dL
4226,Testosterone,Testosterone,004227,13-71,ng/dL
28142,"CBC, Platelet, No Differential",Hemoglobin,005041,11.1-15.9,g/dL
28142,"CBC, Platelet, No Differential",RBC,005033,3.77-5.28,x10E6/uL
28142,"CBC, Platelet, No Differential",WBC,005025,3.4-10.8,x10E3/uL
2139,CEA,CEA,002169,0.0-4.7,ng/mL
28142,"CBC, Platelet, No Differential",Platelets,015172,150-450,x10E3/uL
28142,"CBC, Platelet, No Differential",RDW,105007,11.7-15.4,%
28142,"CBC, Platelet, No Differential",MCHC,015081,31.5-35.7,g/dL
28142,"CBC, Platelet, No Differential",MCH,015073,26.6-33.0,pg
28142,"CBC, Platelet, No Differential",MCV,015065,79-97,fL
28142,"CBC, Platelet, No Differential",Hematocrit,005058,34.0-46.6,%
1057,Uric Acid,Uric Acid,001057,3.1-7.9,mg/dL
